1700, 13013481, 3060000
1800, 13769624, 3240000
1900, 14559678, 3420000
2000, 15329212, 3600000
100, 803480, 190000
200, 1607014, 380000
300, 2426790, 570000
400, 3238864, 760000
500, 4031065, 950000
600, 4859245, 1140000
700, 5655347, 1330000
800, 6453152, 1520000
900, 7265989, 1710000
1000, 8093631, 1900000
1100, 8901507, 2090000
1200, 9691302, 2280000
1300, 10503226, 2470000
1400, 11299719, 2660000
1500, 12116334, 2850000
1600, 12936556, 3040000
1700, 13736190, 3230000
1800, 14534646, 3420000
1900, 15336500, 3610000
2000, 16159850, 3800000
100, 847253, 200000
200, 1704614, 400000
300, 2555257, 600000
400, 3394611, 800000
500, 4240922, 1000000
600, 5104723, 1200000
700, 5942664, 1400000
800, 6814768, 1600000
900, 7652128, 1800000
1000, 8550483, 2000000
1100, 9355449, 2200000
1200, 10212713, 2400000
1300, 11068621, 2600000
1400, 11919198, 2800000
1500, 12746862, 3000000
1600, 13594006, 3200000
1700, 14453468, 3400000
1800, 15302665, 3600000
1900, 16159765, 3800000
2000, 17027416, 4000000


